,Unnamed: 0,Unnamed: 0.1,App,Category,Rating,Reviews,Size,Installs,Price,Content Rating
6395,6395,8445,FIFA Soccer,23,4.2,3909032,51.0,100000000,0.0,0
1212,1212,1582,Tattoodo - Find your next tattoo,16,4.5,7457,13.0,1000000,0.0,1
2592,2592,3460,My Claro Peru,27,3.2,11200,11.0,5000000,0.0,0
3664,3664,4787,X-ray scanner simulator,18,2.7,1616,3.0,500000,0.0,0
3383,3383,4454,"Super P Launcher for Android P 9.0 launcher, theme",25,4.4,2026,7.5,100000,0.0,0
2980,2980,3927,4 in a row,17,4.3,47698,4.1,5000000,0.0,0
5829,5829,7705,CP Calculator - Poke Go Calc,18,4.1,7,22.0,500,0.0,0
5442,5442,7162,Bootable Methods(USB-CD-DVD),3,3.4,37,3.4,10000,0.0,0
7788,7788,10254,FC Porto,23,4.9,15883,21.0,100000,0.0,0
5560,5560,7364,Pixxy KWGT,26,4.8,60,78.0,1000,0.99,0
8091,8091,10688,Fo File Manager,25,4.5,1916,22.571652379544755,100000,0.0,0
643,643,858,Tubi TV - Free Movies & TV,9,4.3,296771,11.0,10000000,0.0,1
7338,7338,9639,Learn Top 300 English Words,18,4.7,61600,3.4,1000000,0.0,0
248,248,295,Verify - Receipts & Expenses,4,4.5,413,29.0,10000,0.0,0
4621,4621,6003,Jagobd - Bangla TV(Official),18,4.3,39109,4.0,1000000,0.0,0
610,610,808,"busuu: Learn Languages - Spanish, English & More",8,4.3,206527,21.0,10000000,0.0,2
3111,3111,4114,Super Car F. Mod for MCPE,17,3.6,214,4.9,50000,0.0,0
3872,3872,5017,AE GTO Racing,17,3.9,6988,35.0,100000,0.0,2
5261,5261,6909,BW Taxi,32,3.0,67,53.0,5000,0.0,0
2759,2759,3660,New 2018 Weather App & Widget,29,4.5,2332,20.0,500000,0.0,1
2306,2306,3138,Wisepilot for XPERIA™,24,3.7,21443,22.571652379544755,5000000,0.0,0
6445,6445,8508,NY mobilbank DK - Danske Bank,11,2.8,851,30.0,100000,0.0,0
3849,3849,4994,AE Sudoku,18,4.3,2171,12.0,100000,0.0,0
6841,6841,8997,DW Event,10,4.3,9,39.0,1000,0.0,0
1542,1542,2077,Intellijoy Early Learning Academy,18,4.3,160,67.0,50000,0.0,0
333,333,387,"Talkatone: Free Texts, Calls & Phone Number",6,4.1,132014,25.0,10000000,0.0,0
2717,2717,3617,My Child from eDziecko.pl,28,4.5,1025,17.0,100000,0.0,0
820,820,1093,Digit Save Money Automatically,11,4.5,8188,22.0,100000,0.0,0
7417,7417,9762,Kids Doctor ER Emergency Rescue Kids Hospital Game,18,3.8,515,85.0,100000,0.0,0
2265,2265,3083,365Scores - Live Scores,23,4.6,666521,25.0,10000000,0.0,0
3740,3740,4876,AB Blast Match 3,18,4.3,111,48.0,10000,0.0,0
950,950,1238,Munchery: Chef Crafted Fresh Food Delivered,12,3.9,464,28.0,50000,0.0,0
5271,5271,6927,Kromium BW Theme for NEXT,26,4.3,1098,18.0,50000,0.0,0
2737,2737,3638,Klara weather,29,4.6,36900,4.8,500000,0.0,0
1286,1286,1666,Plants vs. Zombies FREE,17,4.4,4066989,69.0,100000000,0.0,2
868,868,1147,Current debit card and app made for teens,11,4.3,685,21.0,50000,0.0,0
4763,4763,6178,Change photo background,22,3.8,28660,6.4,5000000,0.0,0
3760,3760,4899,AC Freedom,4,3.5,537,22.571652379544755,100000,0.0,0
6816,6816,8966,DV Youth,16,5.0,5,15.0,100,0.0,0
5604,5604,7429,Miami Crime Vice Town,17,4.1,154519,99.0,10000000,0.0,3
740,740,1002,SketchBook - draw and paint,9,4.3,256664,77.0,10000000,0.0,0
1761,1761,2345,LabCorp | Patient,19,3.6,27,28.0,10000,0.0,0
3011,3011,3972,Air Transat CinePlus B,24,2.2,83,6.7,50000,0.0,0
3113,3113,4117,Inputting Plus: Ctrl + Z/F/C/V,27,4.2,1117,3.0,50000,0.0,0
66,66,68,REPUVE,1,3.9,356,22.571652379544755,100000,0.0,0
4034,4034,5276,AK 47 Live Wallpaper,26,4.1,585,4.4,50000,0.0,0
5786,5786,7655,Central Bank and Trust Co.,11,4.7,65,12.0,5000,0.0,0
5207,5207,6811,Bu the Baby Bunny - Cute pet care game,18,4.4,37122,89.0,1000000,0.0,0
449,449,535,"Meet24 - Love, Chat, Singles",7,4.2,57081,7.9,1000000,0.0,3
7090,7090,9339,Bible with EGW Comments,3,4.7,3776,12.0,100000,0.0,0
4641,4641,6024,BD Field Force,27,4.2,41,15.0,1000,0.0,0
1343,1343,1763,Piano Tiles 2™,17,4.7,8118880,22.571652379544755,100000000,0.0,0
6575,6575,8684,DP and Status,18,4.1,623,3.0,100000,0.0,0
5982,5982,7896,CT Checkout,11,5.0,1,8.4,50,0.0,0
5927,5927,7828,Mobile CS,4,4.0,13,5.7,1000,0.0,0
768,768,1036,Emmabodafestivalen,10,4.8,12,29.0,1000,0.0,2
6370,6370,8410,The Lost Lands:DH Lite,18,4.3,1130,48.0,50000,0.0,1
4806,4806,6241,Photo Editor - BPhoto,22,4.5,42,20.0,1000,0.0,0
7794,7794,10261,Sydney FC Official App,23,4.6,57,17.0,5000,0.0,0
7665,7665,10107,EY Oil & Gas,4,4.6,20,15.0,1000,0.0,0
3616,3616,4734,Open in WhatsApp (click to chat),25,4.2,12121,22.571652379544755,1000000,0.0,0
6242,6242,8231,Bowers & Wilkins DB Subwoofers,25,3.9,21,11.0,10000,0.0,0
7659,7659,10092,Fuel Calculator for EY,25,4.7,32,2.7,1000,0.0,0
6290,6290,8293,Dictionary,3,4.5,264260,22.571652379544755,10000000,0.0,0
1086,1086,1401,Health and Nutrition Guide,13,4.3,7895,3.3,500000,0.0,0
5567,5567,7373,myNaida CI,19,4.6,64,57.0,5000,0.0,0
6433,6433,8486,Account Class-11 Solutions (D K Goel),18,4.5,663,25.0,50000,0.0,0
7677,7677,10124,EZCast – Cast Media to TV,30,3.6,32112,22.571652379544755,1000000,0.0,0
7313,7313,9610,Instabridge - Free WiFi Passwords and Hotspots,25,4.4,211308,22.571652379544755,10000000,0.0,0
7650,7650,10074,Virtual Dice EX,17,4.3,40,3.6,5000,0.0,0
7808,7808,10277,Fan App for Reading FC,23,3.6,9,13.0,500,0.0,1
7371,7371,9705,EP Radio,18,5.0,3,22.571652379544755,50,0.0,0
5836,5836,7716,CQ Hotels,24,4.3,15,14.0,10000,0.0,0
7929,7929,10451,LG Hi-Fi Plus Manager,25,3.5,154,3.4,10000,0.0,0
5755,5755,7619,Best Park in the Universe,17,4.3,3904,5.5,10000,2.99,2
7910,7910,10429,Talking Tom Bubble Shooter,18,4.4,687136,54.0,50000000,0.0,0
2118,2118,2873,Photo Editor,22,4.3,42079,17.0,1000000,0.0,0
6913,6913,9094,Siyaha Dz,24,4.5,289,9.8,10000,0.0,0
4113,4113,5368,Where Am I At?,24,3.8,39,12.0,10000,0.0,0
1910,1910,2584,"Text Me: Text Free, Call Free, Second Phone Number",20,4.3,344921,22.571652379544755,10000000,0.0,0
6540,6540,8645,"Ike - To-Do List, Task List",27,4.6,6320,6.3,100000,0.0,0
3571,3571,4679,The Gang Sniper V. Pocket Edition.,17,3.9,6121,61.0,500000,0.0,3
3345,3345,4409,Lock 'n' Roll Pro - Ad Free,17,4.6,169,13.0,1000,0.99,0
342,342,401,Google Allo,6,4.3,346982,22.571652379544755,10000000,0.0,0
5124,5124,6700,Brick Breaker BR,17,5.0,7,19.0,5,0.0,0
5243,5243,6887,VictronConnect,25,3.8,400,22.571652379544755,50000,0.0,0
7057,7057,9283,EF Go Ahead Tour Companion,24,2.3,23,43.0,1000,0.0,0
8065,8065,10644,South Florida MLS,16,4.4,133,13.0,10000,0.0,0
4699,4699,6084,Hard Time (Prison Sim),17,4.3,275843,41.0,10000000,0.0,1
6734,6734,8867,DT Simple Interval Timer,23,4.1,10,1.5,1000,0.0,0
5342,5342,7016,Color by Disney,18,2.7,5706,47.0,500000,0.0,0
7977,7977,10512,Funny Jokes,18,3.9,2505,2.9,100000,0.0,3
7146,7146,9403,Virtual Mother Surgery Doctor : Emergency Hospital,18,3.9,70,61.0,10000,0.0,1
2119,2119,2874,Camera51 - a smarter camera,22,4.0,29707,18.0,1000000,0.0,0
2615,2615,3483,HTC Mail,27,3.1,6572,22.571652379544755,10000000,0.0,0
5387,5387,7080,Bubble,25,4.5,31621,22.571652379544755,5000000,0.0,0
5551,5551,7354,Legit Check App by Ch Daniel,16,4.9,66,8.1,1000,0.0,0
6336,6336,8372,DJ Electro Mix Pad,18,3.9,53301,7.6,10000000,0.0,0
6142,6142,8089,Cy-Ranch,31,4.5,27,7.1,500,0.0,0
382,382,455,Email TypeApp - Mail App,6,4.6,183374,44.0,1000000,0.0,0
5043,5043,6572,Habbo - Virtual World,18,3.8,159398,28.0,5000000,0.0,1
6962,6962,9161,Heroes of Dragon Age,17,4.2,70389,28.0,1000000,0.0,1
975,975,1268,Home Workout for Men - Bodybuilding,13,4.8,12705,15.0,1000000,0.0,0
2407,2407,3269,Sound Recorder: Recorder & Voice Changer Free,25,3.9,14552,17.0,10000000,0.0,0
211,211,222,Quick PDF Scanner + OCR FREE,4,4.2,80805,22.571652379544755,5000000,0.0,0
3441,3441,4525,Big Q Car Service,32,4.4,75,26.0,5000,0.0,0
3385,3385,4456,[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,26,4.0,13,19.0,100,0.99,0
5145,5145,6727,BS-Mobile,6,5.0,1,22.571652379544755,50,0.0,0
744,744,1006,Reminder,10,4.5,7074,6.3,500000,0.0,0
232,232,247,Crew - Free Messaging and Scheduling,4,4.6,4159,48.0,500000,0.0,0
1806,1806,2411,Dialysis of Drugs,19,2.9,92,1.5,10000,0.0,0
4053,4053,5306,GUN ZOMBIE,17,4.4,243121,38.0,5000000,0.0,1
2089,2089,2838,Kids Photo Frames,22,4.6,15700,10.0,1000000,0.0,0
2506,2506,3369,"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",26,4.7,114851,20.0,10000000,0.0,0
1441,1441,1926,Swamp Attack,17,4.4,2119218,70.0,50000000,0.0,2
2077,2077,2826,Garden Photo Frames - Garden Photo Editor,22,4.4,1864,13.0,500000,0.0,0
4590,4590,5963,BC Lotto Check,18,3.0,10,22.571652379544755,5000,0.0,0
846,846,1122,MileIQ - Free Mileage Tracker for Business,11,4.5,46106,22.0,1000000,0.0,0
6351,6351,8388,Free coupons and vouchers,11,5.0,4,5.9,100,0.0,0
5084,5084,6629,BQ-መጽሐፍ ቅዱሳዊ ጥያቄዎች,17,4.7,191,7.2,5000,0.0,0
4666,4666,6049,be Produbanco,11,4.0,967,22.0,100000,0.0,0
157,157,166,Read books online,3,4.1,91615,23.0,5000000,0.0,3
5805,5805,7675,Evolution CP & IV Calculator for pokemon,18,4.3,9465,43.0,500000,0.0,0
2022,2022,2735,Ratings by Consumer Reports,21,4.3,3420,13.0,100000,0.0,0
6085,6085,8012,Morse Machine for Ham Radio,6,4.8,341,9.6,5000,0.99,0
2727,2727,3628,AccuWeather: Daily Forecast & Live Weather Reports,29,4.4,2053404,22.571652379544755,50000000,0.0,0
2300,2300,3131,Allegiant,24,3.1,5572,21.0,1000000,0.0,0
4248,4248,5530,The Walking Dead: Our World,17,4.0,22435,100.0,1000000,0.0,1
7101,7101,9352,Propertyfinder,16,4.2,1506,11.0,100000,0.0,0
7232,7232,9511,Ek Bander Ne Kholi Dukan,18,5.0,10,3.0,10000,0.0,0
5376,5376,7066,Sniper Gun Shot 3D: Impossible Missions,17,4.6,20,34.0,100,0.0,3
1498,1498,2022,Educational Games 4 Kids,18,4.3,11618,39.0,5000000,0.0,0
1915,1915,2590,textPlus: Free Text & Calls,20,4.1,382120,28.0,10000000,0.0,0
1495,1495,2019,Mahjong,18,4.5,33983,22.0,5000000,0.0,0
6449,6449,8514,Downloader & Private Browser,25,4.3,1072565,22.571652379544755,50000000,0.0,0
6662,6662,8783,Super Dr. Parking 3D,18,4.0,4518,41.0,1000000,0.0,0
2000,2000,2705,SnipSnap Coupon App,21,4.2,9975,18.0,1000000,0.0,0
493,493,611,MouseMingle,7,2.7,3,3.9,100,0.0,3
3170,3170,4192,Deaf - Hearing chat device H,6,4.4,9,22.571652379544755,500,3.99,0
7131,7131,9388,Mad Skills Motocross,17,4.0,32522,44.0,1000000,0.0,0
7510,7510,9873,Flag Of European Union LWP,26,4.3,88,4.2,1000,0.0,0
1186,1186,1554,Ayyush wih wih new without Net,15,3.8,912,13.0,500000,0.0,0
1160,1160,1518,SUDOKU,15,4.1,923,4.3,100000,0.0,0
7423,7423,9768,Lead'er,11,4.1,54,5.8,5000,0.0,0
3128,3128,4136,F-Secure Freedome for Business,4,3.8,183,9.9,50000,0.0,0
6974,6974,9173,Plants vs. Zombies™ Watch Face,18,3.5,33178,3.1,1000000,0.0,0
7631,7631,10054,Aurum Blade EX,18,4.3,28151,17.0,1000000,0.0,2
3224,3224,4266,Harris J Lyrics,18,4.7,36,7.1,1000,0.0,0
6599,6599,8710,Faceoff DP Battle App,18,4.8,38,6.7,1000,0.0,0
2189,2189,2972,BeSoccer - Soccer Live Score,23,4.5,152780,22.571652379544755,10000000,0.0,0
5446,5446,7175,Disc Label Print,25,3.0,262,37.0,10000,0.0,0
8069,8069,10652,FutureNet your social app,20,4.2,2093,7.0,100000,0.0,1
3593,3593,4704,V for Vampire - Free,18,4.3,2772,35.0,500000,0.0,1
6118,6118,8048,CX-10DS,18,3.4,12,11.0,1000,0.0,0
1140,1140,1485,"N1.RU - Real estate: apartments, new buildings, lodging",14,4.5,7619,13.0,100000,0.0,0
1492,1492,2013,Dog Run - Pet Dog Simulator,17,4.7,48615,24.0,10000000,0.0,0
2815,2815,3719,BBC News,31,4.3,296781,22.571652379544755,10000000,0.0,2
4178,4178,5441,Scanning under clothes (prank),18,3.7,1443,20.0,100000,0.0,3
2010,2010,2716,"Groupon - Shop Deals, Discounts & Coupons",21,4.6,1370749,22.571652379544755,50000000,0.0,1
1350,1350,1771,Color by Number – New Coloring Book,17,4.7,141529,24.0,5000000,0.0,2
24,24,26,Colorfit - Drawing & Coloring,0,4.7,20260,25.0,500000,0.0,0
2244,2244,3040,PGA TOUR,23,4.0,11151,52.0,1000000,0.0,0
5529,5529,7321,CG Jobs,18,5.0,8,14.0,10,0.0,0
1431,1431,1864,Fate/Grand Order (English),17,4.4,16601,55.0,500000,0.0,1
1054,1054,1354,"Eve Period Tracker - Love, Sex & Relationships App",13,4.6,20326,28.0,1000000,0.0,1
686,686,902,AMC Theatres,9,4.3,44550,72.0,1000000,0.0,0
5358,5358,7036,Weather BZ,29,4.4,8433,5.6,100000,0.0,0
6645,6645,8766,"Dr. Safety - Antivirus, Booster, Cleaner, AppLock",25,4.4,372553,21.0,10000000,0.0,0
1889,1889,2563,Love Sticker,20,4.6,33177,10.0,1000000,0.0,0
7046,7046,9272,EF English Live Business,18,3.6,496,14.0,100000,0.0,0
1326,1326,1718,Garena Free Fire,17,4.5,5465624,53.0,100000000,0.0,1
6977,6977,9176,EB Mobile,18,1.7,1172,5.6,10000,0.0,0
2619,2619,3487,Microsoft Translator,27,4.6,209696,49.0,5000000,0.0,0
2430,2430,3292,Flashlight,25,4.7,115409,22.571652379544755,10000000,0.0,0
5212,5212,6820,sustainability@BU,16,4.8,10,11.0,1000,0.0,0
5539,5539,7336,FAV KWGT,26,4.9,88,66.0,1000,0.99,0
3522,3522,4627,U by BB&T,11,4.3,16600,24.0,1000000,0.0,0
1210,1210,1580,HTC Speak,16,3.5,6145,13.0,10000000,0.0,0
4561,4561,5928,Arabic Alif Ba Ta For Kids,18,4.5,226,26.0,100000,0.0,0
1242,1242,1613,"Wedding Planner by WeddingWire - Venues, Checklist",16,4.2,3788,44.0,1000000,0.0,0
4292,4292,5580,Sleep as Android Garmin Addon,13,2.6,114,1.6,10000,0.0,0
7015,7015,9227,EC music dictionary,25,4.4,20,2.2,500,1.99,0
397,397,483,OkCupid Dating,7,4.1,285726,15.0,10000000,0.0,3
4266,4266,5552,Super AR,18,3.8,410,28.0,10000,0.0,1
1005,1005,1298,Run with Map My Run,13,4.5,183662,57.0,5000000,0.0,0
2725,2725,3626,The Weather Channel: Rain Forecast & Storm Alerts,29,4.4,1558437,22.571652379544755,50000000,0.0,0
1685,1685,2266,EMT PASS,19,3.4,51,2.4,1000,29.99,0
7322,7322,9620,Hello English: Learn English,18,4.6,750321,22.571652379544755,10000000,0.0,0
5568,5568,7374,CI MOBI,18,4.3,108,42.0,5000,0.0,0
5292,5292,6961,Benefit Extras Mobile App,13,2.3,3,2.4,1000,0.0,0
6681,6681,8803,DR Sebi's Alkaline List,18,4.0,68,5.5,5000,0.0,0
1537,1537,2072,Thomas & Friends: Race On!,18,4.1,29319,26.0,5000000,0.0,0
1912,1912,2586,Text Free: WiFi Calling App,20,4.2,83488,22.571652379544755,5000000,0.0,0
2463,2463,3325,VPN Free - Betternet Hotspot VPN & Private Browser,25,4.5,801054,8.9,10000000,0.0,0
7553,7553,9951,EV Trip Optimizer for Tesla,1,3.2,46,6.6,1000,0.0,0
1244,1244,1615,WedMeGood - Wedding Planner,16,4.6,1658,9.7,100000,0.0,0
7991,7991,10540,Ray Financial Calculator Pro,11,4.0,67,2.4,10000,2.99,0
265,265,313,"漫咖 Comics - Manga,Novel and Stories",5,4.1,12088,21.0,1000000,0.0,3
3248,3248,4295,Preschool All-In-One,18,4.1,9019,44.0,1000000,0.0,0
2938,2938,3863,NAVITIME Bus Transit JAPAN,32,3.7,6939,22.571652379544755,1000000,0.0,0
4586,4586,5959,iFish BC,23,3.6,25,6.0,1000,3.99,0
3519,3519,4624,MBTA GPS - Track the T,32,3.8,82,5.6,5000,0.0,0
3372,3372,4439,Band O'Clock,16,3.8,1140,22.571652379544755,100000,0.0,0
4726,4726,6116,BF Abstract 3d Pictures,18,4.2,72,2.5,10000,0.0,1
3841,3841,4983,My baby firework (Remove ad),18,4.1,30,22.571652379544755,1000,0.99,0
1106,1106,1447,"Viva Decora - Decoration, Photos, Architecture, House",14,4.8,3167,7.5,100000,0.0,0
2308,2308,3140,MAIN,24,3.6,7081,51.0,1000000,0.0,0
5555,5555,7358,swissinfo.ch,31,3.9,271,9.6,50000,0.0,2
6298,6298,8302,Word Search multilingual,17,4.2,32849,1.5,1000000,0.0,0
6228,6228,8213,DB Train Simulator,18,3.7,6514,72.0,500000,0.0,0
6943,6943,9140,EA SPORTS UFC®,23,4.5,2371338,37.0,50000000,0.0,1
3498,3498,4601,T-Mobile Tuesdays,16,4.0,53144,21.0,5000000,0.0,0
5005,5005,6521,RTVBN,31,3.7,533,3.8,50000,0.0,0
1201,1201,1571,Entel,16,3.2,16168,55.0,1000000,0.0,0
869,869,1150,Betterment,11,4.4,3780,11.0,100000,0.0,0
1578,1578,2122,Robots Vs Zombies: Transform To Race And Fight,18,4.5,278,22.571652379544755,100000,0.0,0
2697,2697,3594,BookBaby - Baby Development,28,4.6,1002,5.0,50000,0.0,0
1814,1814,2427,Sway Medical,19,5.0,3,22.0,100,0.0,0
3257,3257,4310,"K-Spapp, the K-Space app",18,4.8,39,3.6,1000,0.0,0
1177,1177,1543,Super Funny Ringtones 2018 🔔,15,4.5,1703,22.0,100000,0.0,0
555,555,733,Listen and learn English in seven days,8,4.3,1516,3.9,100000,0.0,0
873,873,1154,BBVA Compass Banking,11,4.3,5905,50.0,500000,0.0,0
787,787,1060,Nubank,11,4.7,130582,24.0,5000000,0.0,0
1956,1956,2661,Walmart,21,4.4,441473,22.571652379544755,10000000,0.0,0
5287,5287,6951,BX Mobile TMC for SAP B1,4,4.7,3,11.0,100,0.0,0
48,48,50,Real Tractor Farming,1,4.0,1598,56.0,1000000,0.0,0
8058,8058,10637,Gainesville Florida Police Department,16,4.8,4,15.0,500,0.0,0
3724,3724,4858,Ultimate Ab & Core Workouts,13,4.7,55571,12.0,1000000,0.0,0
7651,7651,10075,Black Theme Go Launcher EX,26,4.1,285,3.9,50000,0.0,1
7776,7776,10242,Barcelona Live 2018—Goals & News for Barca FC Fans,23,4.6,342,38.0,10000,0.0,0
3307,3307,4370,M Notifier for M Launcher,25,4.2,2803,1.4,100000,0.0,0
2068,2068,2817,Waterfall Photo Frames,22,4.5,10349,11.0,1000000,0.0,0
565,565,745,NeuroNation - Focus and Brain Training,8,4.5,248555,22.571652379544755,5000000,0.0,0
4359,4359,5657,AU Results - AU COE Corner,18,4.0,664,2.1,100000,0.0,0
6031,6031,7950,CV Formats 2018,18,4.3,374,26.0,100000,0.0,0
845,845,1121,Everlance: Free Mileage Log,11,4.7,7514,14.0,100000,0.0,0
3068,3068,4045,D Day World War II Commando Survival Shooting,17,4.2,951,64.0,100000,0.0,1
5086,5086,6631,BQ Scan,25,4.6,18,4.0,100,0.0,0
6861,6861,9029,Ham DX Cluster & Spots Finder,6,4.5,115,2.8,5000,0.0,0
3921,3921,5081,Blurfoto : Auto blur photo background & DSLR focus,22,4.3,2215,12.0,500000,0.0,0
189,189,200,SuperLivePro,4,4.3,46353,21.0,1000000,0.0,0
907,907,1195,Chick-fil-A,12,4.3,28008,17.0,5000000,0.0,0
3929,3929,5092,AG Screen Recorder,25,3.7,7,2.7,1000,0.0,0
6998,6998,9207,Bihar Land Records - RoR and EB Quick Pay,25,4.0,8,2.2,1000,0.0,0
314,314,363,Who,6,4.3,2451083,22.571652379544755,100000000,0.0,1
7678,7678,10125,EZ Cleaner - Booster Optimizer,25,4.4,6801,2.8,500000,0.0,0
526,526,703,Learn English with Wlingua,8,4.7,314299,3.3,10000000,0.0,0
1405,1405,1830,Master of Eternity(MOE),17,4.2,5829,70.0,100000,0.0,1
3145,3145,4163,Offroad G-Class 2018,18,4.4,7715,28.0,500000,0.0,0
2840,2840,3744,Sky News,31,4.0,30287,19.0,1000000,0.0,2
458,458,555,Heart mill,7,3.3,4631,45.0,100000,0.0,3
6694,6694,8816,DS cam,27,3.6,3227,35.0,500000,0.0,0
8125,8125,10742,GKPB FP Online Church,16,5.0,32,7.9,1000,0.0,0
6265,6265,8260,"Superheroes, Marvel, DC, Comics, TV, Movies News",5,5.0,34,12.0,5000,0.0,0
4198,4198,5464,Ap Video Downloader for fb New 2018,25,4.2,676,5.4,100000,0.0,0
7884,7884,10388,Field Goal Tournament,23,3.7,2980,21.0,100000,0.0,0
4721,4721,6108,BF 3d Images,18,4.3,19,2.5,1000,0.0,1
7611,7611,10032,XCOM: TBG,18,4.0,2294,95.0,100000,0.0,0
5641,5641,7477,USMLE Step 2 CK Flashcards,18,5.0,1,40.0,10,19.99,0
3072,3072,4050,Block City Wars + skins export,18,4.5,762706,28.0,10000000,0.0,1
2800,2800,3701,"PowerDirector Video Editor App: 4K, Slow Mo & More",30,4.5,714665,50.0,10000000,0.0,0
3337,3337,4401,Mopar Drag N Brag,17,4.2,30630,17.0,1000000,0.0,0
7160,7160,9426,Egg,18,2.9,72,27.0,5000,0.0,3
1760,1760,2343,Migraine Buddy - The Migraine and Headache tracker,19,4.7,26862,30.0,500000,0.0,0
494,494,612,American Girls Mobile Numbers,7,5.0,5,4.4,1000,0.0,3
5132,5132,6714,iPlayIT for YouTube VR Player,30,4.3,5879,22.571652379544755,1000000,0.0,1
5301,5301,6973,Limbo PC Emulator QEMU ARM x86,25,4.2,13005,9.7,1000000,0.0,0
4290,4290,5578,Sleep as Android Unlock,16,4.5,23966,22.571652379544755,1000000,5.99,0
227,227,242,Insightly CRM,4,3.8,1383,51.0,100000,0.0,0
5826,5826,7700,CP Surprise,16,3.8,2548,4.9,100000,0.0,0
3932,3932,5097,EZ Ag Mobile,11,3.4,19,24.0,5000,0.0,0
676,676,891,YouTube Gaming,9,4.2,130549,22.571652379544755,5000000,0.0,1
1231,1231,1601,JOANN - Crafts & Coupons,16,4.6,34782,12.0,1000000,0.0,0
272,272,320,Narrator's Voice,5,4.5,564387,22.571652379544755,5000000,0.0,0
2395,2395,3256,"ZenUI Keyboard – Emoji, Theme",25,4.5,537554,22.571652379544755,10000000,0.0,0
2367,2367,3225,Airport + Flight Tracker Radar,24,4.2,6762,8.5,1000000,0.0,0
2557,2557,3421,Sun Rise Free Live Wallpaper,26,4.3,86481,8.6,10000000,0.0,0
4716,4716,6103,Sexy Hot Detector Prank,18,3.9,17067,2.7,5000000,0.0,0
4233,4233,5514,ClanHQ,6,2.7,560,37.0,10000,0.0,0
5807,5807,7677,Hercules CP Mobile,25,1.4,20,4.1,1000,0.0,0
8138,8138,10765,Chat For Strangers - Video Chat,20,3.4,622,22.571652379544755,100000,0.0,3
1591,1591,2140,Shopkins World!,18,4.3,169609,34.0,10000000,0.0,0
7087,7087,9335,EGW Writings 2,3,4.7,6547,16.0,100000,0.0,0
3154,3154,4173,"G Theme 2 for LG V30, LG G6",26,4.3,25,15.0,500,1.49,0
3121,3121,4127,Speech Therapy: F,18,1.0,1,16.0,10,2.99,0
2959,2959,3891,Create A Superhero HD,18,3.3,8642,19.0,500000,0.0,1
4533,4533,5892,First Credit Union (AZ) Mobile,11,3.5,100,11.0,10000,0.0,0
6635,6635,8756,Dr. Parking 4,17,4.4,475369,13.0,50000000,0.0,0
1198,1198,1568,Chart - Myanmar Keyboard,16,4.4,39364,28.0,5000000,0.0,0
4299,4299,5587,Sleep as Microsoft Band Add-On,16,3.5,28,22.571652379544755,1000,0.0,0
3661,3661,4784,Space X: Sky Wars of Air Force,17,4.5,10748,47.0,1000000,0.0,0
7775,7775,10241,FC Barcelona Official Keyboard,23,4.7,5229,20.0,500000,0.0,0
7391,7391,9734,Dentist Surgery ER Emergency Doctor Hospital Games,18,3.5,2580,53.0,100000,0.0,0
1395,1395,1820,"Cash, Inc. Money Clicker Game & Business Adventure",17,4.8,549720,85.0,10000000,0.0,0
6186,6186,8158,Strava.cz,21,4.3,2221,22.571652379544755,100000,0.0,0
5411,5411,7111,Frequencies Free,25,3.5,382,3.1,100000,0.0,0
163,163,172,Ancestry,3,4.3,64513,22.571652379544755,5000000,0.0,0
3955,3955,5150,Bee'ah Employee App,6,4.0,4,5.4,100,0.0,1
7920,7920,10442,FiSwitch,25,4.8,615,2.0,10000,1.99,0
412,412,498,Free Dating App & Flirt Chat - Cheers,7,4.4,667,27.0,10000,0.0,3
668,668,883,"Movies by Flixster, with Rotten Tomatoes",9,4.5,653008,16.0,10000000,0.0,0
4617,4617,5999,Bridge Constructor Playground FREE,18,3.9,137377,30.0,5000000,0.0,0
7995,7995,10556,FK Željezničar Izzy,18,4.9,119,17.0,1000,0.0,0
4452,4452,5776,Food-Aw - Order Food Online in Aruba,12,5.0,1,24.0,100,0.0,0
1009,1009,1302,"Home workouts - fat burning, abs, legs, arms,chest",13,4.3,4848,13.0,1000000,0.0,0
889,889,1175,Barclays US for Android,11,4.1,6998,24.0,1000000,0.0,0
4138,4138,5397,Girls Craft: Exploration,18,3.8,130689,57.0,5000000,0.0,2
920,920,1208,GialloZafferano: Recipes,12,4.3,30224,22.571652379544755,1000000,0.0,0
5366,5366,7046,BZ Fingers,17,4.6,15,3.2,50,0.0,0
6022,6022,7941,CV Engineer - Free Resume Maker & CV Templates,4,4.6,213,3.8,10000,0.0,0
3135,3135,4151,Google Now Launcher,25,4.2,857215,7.9,100000000,0.0,0
3431,3431,4514,Q-Ticketing,32,3.8,114,19.0,10000,0.0,0
4386,4386,5695,AVG AntiVirus 2018 for Android Security,25,4.5,6207063,22.571652379544755,100000000,0.0,0
7003,7003,9214,"energyly (TNEB,BESCOM,MH,DL..)",25,3.9,627,4.1,10000,0.0,0
4052,4052,5305,AK Booster,25,3.8,71,7.0,10000,0.0,0
968,968,1261,Lose Weight in 30 Days,13,4.8,220125,11.0,10000000,0.0,0
2671,2671,3558,DigiCal Calendar Agenda,27,4.4,133573,22.571652379544755,5000000,0.0,0
